Key,Desc,Default,French
Delete all decals.,,Delete all decals.,Supprimer tous les autocollants.
Delete all decals?,,Delete all decals?,Supprimer tous les autocollants?
Delete all snap points.,,Delete all snap points.,Supprimer tous les points d'accrochage.
Delete all snap points?,,Delete all snap points?,Supprimer tous les points d'accrochage?
Delete and Unsubscribe from {0}?,,Delete and Unsubscribe from {0}?,Supprimer et Se désabonner de {0}?
Delete tag '{0}'? (It will be removed from all components and objects.),,"Delete tag '{0}'?
(It will be removed from all components and objects.)","tag Supprimer « {0} »?
(Il sera retiré de tous les composants et objets.)"
Delete theme {0}?,,Delete theme {0}?,Supprimer {0} thème?
Delete {0}?,,Delete {0}?,Supprimer {0}?
Delete {0}? (This will delete anything contained within this folder),,Delete {0}? (This will delete anything contained within this folder),Supprimer {0}? (Ceci supprimera contenu dans ce tout dossier)
Delete {0}? All files contained will stop working in any mods.,,Delete {0}? All files contained will stop working in any mods.,Supprimer {0}? Tous les fichiers contenus cesseront de fonctionner dans tous les mods.
Delete {0}? This file will stop working in any mods.,,Delete {0}? This file will stop working in any mods.,Supprimer {0}? Ce fichier cessera de fonctionner dans tous les mods.
"Deletes objects from the table. Alternatively, you can press . This can also be done in the Contextual Menu.",,"Deletes objects from the table. Alternatively, you can press . This can also be done in the Contextual Menu.","Supprime les objets de la table. Sinon, vous pouvez appuyer sur. Cela peut aussi se faire dans le menu contextuel."
Demonic,,Demonic,Démoniaque
Demote,,Demote,Rétrograder
Description,,Description,Description
Dexterity Games,,Dexterity Games,Jeux de dextérités
Diamonds,,Diamonds,diamants
Dice,,Dice,Dés
Dice Games,,Dice Games,Jeux de dés
Die,,Die,Mourir
Diffuse-Image,,Diffuse/Image,Diffuse / Image
Digital,,Digital,Numérique
Digital Clock,,Digital Clock,Horloge digitale
Direct Connect,,Direct Connect,Connection directe
Direction,,Direction,Direction
Disable,,Disable,Désactiver
Disable Interactions,,Disable Interactions,Désactiver les intéractions
Disable Unused,,Disable Unused,Désactiver pour les sièges vides
Disable if you wish to control the dimensions of the grid independently.,,Disable if you wish to control the dimensions of the grid independently.,Désactiver si vous souhaitez contrôler les dimensions de la grille de façon indépendante.
Disabled,,Disabled,Désactivé
Disables interactions when it's not a color's turn.,,Disables interactions when it's not a color's turn.,Désactive les intéractions aux joueurs dont ce n'est pas le tour.
Disconnected,,Disconnected,Déconnecté
Display Object Drop Position,,Display Object Drop Position,Affichage l'aperçu de chute
Display VR Players,,Display VR Players,Afficher joueurs VR
Display the chat UI.,,Display the chat UI.,Afficher le Tchat.
Display the on screen notes on the right side of the screen.,,Display the on screen notes on the right side of the screen.,Afficher les notes à droite de l'écran.
Display the on-screen keyboard if you are playing in VR.,,Display the on-screen keyboard if you are playing in VR.,Afficher le clavier à l'écran uniquement en VR.
Display the on-screen keyboard.,,Display the on-screen keyboard.,Afficher le clavier à l'écran.
Display the player names on the top right.,,Display the player names on the top right.,Afficher les noms des joueurs en haut à droite.
Display the top menu bar UI.,,Display the top menu bar UI.,Afficher la barre du menu principal en haut.
Display tools menu on the top left.,,Display tools menu on the top left.,Afficher le menu des outils en haut à gauche.
Distance,,Distance,Distance
Do not show the on-screen keyboard.,,Do not show the on-screen keyboard.,Ne pas afficher le clavier à l'écran.
Do you want the puzzle image to be on the board as you are building the puzzle? This makes the puzzle easier.,,Do you want the puzzle image to be on the board as you are building the puzzle? This makes the puzzle easier.,Voulez-vous l'image de puzzle d'être sur la carte que vous construisez le casse-tête? Cela rend le puzzle plus facile.
Do you want the tiles to stack like poker chips?,,Do you want the tiles to stack like poker chips?,Est-ce que vous voulez que les tuiles à empiler comme des jetons de poker?
Do you want the tokens to stack like poker chips?,,Do you want the tokens to stack like poker chips?,Est-ce que vous voulez que les jetons à empiler comme des jetons de poker?
Do you want this token to stand up like a meeple instead of being flat like a tile?,,Do you want this token to stand up like a meeple instead of being flat like a tile?,Est-ce que vous voulez que ce jeton à se lever comme un meeple au lieu d'être plat comme une tuile?
Documents,,Documents,Documents
Does each card have a different card back? If so use the same template for the face cards as you do for the backs.,,Does each card have a different card back? If so use the same template for the face cards as you do for the backs.,Est-ce que chaque carte a un dos de carte différent? Dans ce cas utiliser le même modèle pour les cartes de visage comme vous le faites pour le dos.
Dominoes,,Dominoes,Dominos
Don't show servers that are full.,,Don't show servers that are full.,Ne pas afficher les serveurs sont pleins.
Don't show servers that have passwords.,,Don't show servers that have passwords.,Ne pas afficher les serveurs qui ont des mots de passe.
Double-Click Container Pickup,,Double-Click Container Pickup,Prendre les conteneurs en double-clique
Down,,Down,Bas
Downtown,,Downtown,Centre ville
Drag,,Drag,Frottements avec l'air (Déplacement)
Drag Selectable,,Drag Selectable,Sélectionnable
Drag left or right to increase or decrease the value.,,Drag left or right to increase or decrease the value.,Faites glisser à gauche ou à droite pour augmenter ou diminuer la valeur.
Drag the colors around to determine the turn order. Custom turns must be active.,,Drag the colors around to determine the turn order. Custom turns must be active.,Faites glisser les couleurs pour déterminer l'ordre du tour. Les Tours personnalisés doivent être actifs.
Drag your finger on the table or background.,,Drag your finger on the table or background.,Faites glisser votre doigt sur la table ou arrière-plan.
Dragonide,,Dragonide,Dragonide
Draw,,Draw,Piocher
Drawing,,Drawing,Dessin
Drop,,Drop,Laissez tomber
Drop Last Grabbed,,Drop Last Grabbed,Drop Last Grabbed
Dungeons,,Dungeons,Donjons
Dynamic Friction,,Dynamic Friction,frottement dynamique
DynamicAmaranth,,DynamicAmaranth,DynamicAmaranth
DynamicAmaranthFixedNumerals,,DynamicAmaranthFixedNumerals,DynamicAmaranthFixedNumerals
DynamicInconsolata,,DynamicInconsolata,DynamicInconsolata
EASTWARD,,Eastward,à l'est
END TURN,,End Turn,fin du tour
Edge,,Edge,Bord
Edit,,Edit,Éditer
Edit Note,,Edit Note,Note éditée
Edit Tags,,Edit Tags,Étiquettes d'édition
Edit Tags...,,Edit Tags...,Étiquettes d'édition...
Edit tags on fog of war zone.,,Edit tags on fog of war zone.,Modifier les mots clés sur le brouillard de la zone de guerre.
Edit tags on hand zone.,,Edit tags on hand zone.,Modifier les mots clés sur la zone de la main.
Edit tags on hidden zone.,,Edit tags on hidden zone.,Modifier les mots clés sur zone cachée.
Edit tags on layout zone.,,Edit tags on layout zone.,Modifier les mots clés sur la zone de mise en page.
Edit tags on randomize zone.,,Edit tags on randomize zone.,Modifier les mots clés sur la zone randomize.
Edit tags on scripting zone.,,Edit tags on scripting zone.,Modifier les mots clés sur la zone de script.
Edit tags on selected components.,,Edit tags on selected components.,Modifier les mots clés sur les composants sélectionnés.
Edit tags on this snap point.,,Edit tags on this snap point.,Modifier les mots clés sur ce point-pression.
Edit tags snap points are created with.,,Edit tags snap points are created with.,Modifier les balises enclenchent points sont créés avec.
Empty Game,,Empty Game,jeu vide
Enable,,Enable,Activer
Enable collision between bodies connected with the joint.,,Enable collision between bodies connected with the joint.,Activer la collision entre les organismes liés à l'articulation.
Enable or disable card hands.,,Enable or disable card hands.,Activer ou désactiver les mains de carte.
Enhanced Base Precision,,Enhanced Base Precision,Enhanced Base Precision
Enter,,Enter,Entrer
Enter Server Password,,Enter Server Password,Entrez le serveur Mot de passe
Enter name of player {0},,Enter name of player {0},Entrez le nom du joueur {0}
Enter value:,,Enter value:,Entrer la valeur:
Equator,,Equator,Equateur
Erase,,Erase,Effacer
Erase all drawn lines.,,Erase all drawn lines.,Effacer toutes les lignes tracées.
Erase all drawn lines?,,Erase all drawn lines?,Effacer toutes les lignes tracées?
Erase entire pixel drawing.,,Erase entire pixel drawing.,Effacer dessin entier de pixels.
Error storing theme (this should never happen!).,,Error storing theme (this should never happen!).,Erreur de stockage thème (ce qui ne devrait jamais arriver!).
Europe Proxy,,Europe Proxy,europe Proxy
Everyone except the hand owner can see in hand.,,Everyone except the hand owner can see in hand.,Tout le monde sauf le propriétaire de la main peut voir dans la main.
Evil Watcher,,Evil Watcher,mal Watcher
Exact,,Exact,Exact
Exit Game,,Exit Game,Quitter le jeu
Expand,,Expand,Développer
Export,,Export,Exporter
FACING_DOWN,,Become Face Down,Devenez face vers le bas
FACING_KEEP,,Do Not Change,Ne changez pas
FACING_TIPPED,,Group Is Tipped,Groupe est basculée
FACING_UP,,Become Face Up,Devenez face vers le haut
FIFO,,FIFO,FIFO
FIXED,,Fixed,Fixé
Face,,Face,Visage
"Face picture must be in proper deck template. Template can be found in the game folder. Upload your image to a web host, then copy paste the direct link here. 4096x4096 recommended.",,"Face picture must be in proper deck template. Template can be found in the game folder. Upload your image to a web host, then copy paste the direct link here. 4096x4096 recommended.","image du visage doit être dans le modèle de plate-forme appropriée. Modèle se trouve dans le dossier du jeu. Téléchargez votre image à un hébergeur, puis copiez collez le lien direct ici. recommandé 4096x4096."
Face-Down,,Face-Down,Face cachée
Face-Up,,Face-Up,Face vers le haut
Facing,,Facing,Orienté vers
Family Games,,Family Games,Jeux de famille
Fast-forward Time,,Fast-forward Time,Temps Avance rapide
Field,,Field,Champ
Field of View,,Field of View,Champ de vision
Field of View of Fog of War revealed.,,Field of View of Fog of War revealed.,Champ de vision de brouillard de guerre révélé.
Figurine,,Figurine,figurine
Figurines,,Figurines,Figurines
Filename,,Filename,Nom de fichier
Filter by Tags:,,Filter by Tags:,Filtrer par tags:
Filtered Public Servers - All Public Servers,,Filtered Public Servers / All Public Servers,Serveurs publics / Filtré Tous les serveurs publics
Filters,,Filters,filtres
Find and join a server hosted by another player.,,Find and join a server hosted by another player.,Trouvez et se joindre à un serveur hébergé par un autre joueur.
First in first out or a queue.,,First in first out or a queue.,"Premier entré, premier sorti ou une file d'attente."
Fixed Joint,,Fixed Joint,Joint fixe
Flick,,Flick,Propulser
Flicking,,Flicking,Flicking
Flicks in air when thrown.,,Flicks in air when thrown.,Flicks dans l'air lors de la levée.
Flip,,Flip,Retourner
Flip Other Axis,,Flip Other Axis,Retour. autre axe
Floor,,Floor,Sol
Floor Of Mist,,Floor Of Mist,Floor Of Mist
Fly Down,,Fly Down,Descendre (Camera 1ère Personne)
Fly Up,,Fly Up,Monter (Camera 1ère Personne)
Fly Up & Down,,Fly Up & Down,Monter & Descendre
Fog Height,,Fog Height,Hauteur du brouillard
Fog of War,,Fog of War,Brouillard de guerre
Fog of War Tags,,Fog of War Tags,Brouillard de guerre Balises
Folder Name,,Folder Name,Nom du dossier
Font Size,,Font Size,Taille de police
Force,,Force,Forcer
Forest,,Forest,Forêt
"Found {0} matching Custom Object(s), do you also want to update them to match?",,"Found {0} matching Custom Object(s), do you also want to update them to match?","Trouvé {0} correspondant objet personnalisé (s), voulez-vous aussi les mettre à jour pour correspondre?"
Free,,Free,Libre
Free Camera,,Free Camera,Caméra libre
Freeze the object in place stopping all physics interactions.,,Freeze the object in place stopping all physics interactions.,Geler l'objet en place l'arrêt de toutes les interactions de la physique.
Fresnel Strength,,Fresnel Strength,Fresnel Force
Friends,,Friends,Amis
Friends Only,,Friends Only,Amis uniquement
Front Image,,Front Image,front image
Full,,Full,Plein(e)
Full Size Textures,,Full Size Textures,Textures grandes tailles
Fullscreen,,Fullscreen,Plein écran
GENERAL,,General,Général
GM (Black) players' pointer will be hidden in area.,,GM (Black) players' pointer will be hidden in area.,Le pointeur de joueurs GM (noir) sera caché dans la zone.
GM Notes (only visible to Black),,GM Notes (only visible to Black),Notes de GM (uniquement visible Black)
GRAPHICS,,Graphics,Graphismes
Game,,Game,Jeu
Game Data,,Game Data,Jeu de données
Game Keys,,Game Keys,Clés de jeu
Game Name,,Game Name,Nom du jeu
Game Tags,,Game Tags,Mots-clés jeu
Game Types:,,Game Types:,Types de jeu:
Game Volume,,Game Volume,Volume de jeu
Games,,Games,Jeux
Games Add To Context Menus,,Games Add To Context Menus,Games Add To Context Menus
Games Can Show Controls UI,,Games Can Show Controls UI,Games Can Show Controls UI
Generic,,Generic,Générique
Get current rotation.,,Get current rotation.,Obtenez la rotation actuelle.
Ghoul,,Ghoul,Goule
Giant Rat,,Giant Rat,Rat géant
Giant Viper,,Giant Viper,Viper géant
Gizmo,,Gizmo,Gizmo
Gizmo Tool Size,,Gizmo Tool Size,Taille de l'outil Gizmo
Glass,,Glass,Verre
Global,,Global,Global
Globally controls all object snapping.,,Globally controls all object snapping.,À l'échelle mondiale contrôle tous les accrochages d'objet.
Glue,,Glue,La colle
Go,The game,Go,Go
Go back 10 seconds in time.,,Go back 10 seconds in time.,Retour 10 secondes dans le temps.
Go back and forward in time to fix any mistakes.,,Go back and forward in time to fix any mistakes.,Revenez en arrière et en avant dans le temps pour corriger les erreurs.
Go back and forward in time to fix any mistakes. You can also use the arrows at the top menu to rewind and forward time.,,Go back and forward in time to fix any mistakes. You can also use the arrows at the top menu to rewind and forward time.,Revenez en arrière et en avant dans le temps pour corriger les erreurs. Vous pouvez également utiliser les flèches dans le menu en haut pour revenir en arrière et en avant le temps.
Go forward 10 seconds in time.,,Go forward 10 seconds in time.,Avancez 10 secondes dans le temps.
Goblin,,Goblin,Lutin
Gold,,Gold,Or
Gold 1000,,Gold 1000,1000 Or
Golem,,Golem,Golem
Good! Now time to add that card to the deck.,,Good! Now time to add that card to the deck.,"Bien ! Maintenant, il est temps de l'ajouter au tas de carte."
Grab,,Grab,Saisir
Grab - Selection,,Grab / Selection,Attraper / Sélectionner
"Grab one of the objects, and then use (Pad Left) or (Pad Right) to rotate it.",,"Grab one of the objects,
and then use <Pad Left> or <Pad Right> to rotate it.","Saisissez un des objets,
puis utilisez <Pad gauche> ou <jambière droite> pour la faire tourner."
"Grab or mouse over one of the objects, and then use (Q) or (E) to rotate it.",,"Grab or mouse over one of the objects,
and then use <Q> or <E> to rotate it.","Prennez ou survolez l'un des objets,
puis utilisez <Q> ou <E> pour le faire pivoter."
Grabbing Hides Gem,,Grabbing Hides Gem,Gem Hides accaparement
Gradient,,Gradient,Graduelle
Gradient Colors,,Gradient Colors,Couleurs Graduelles
Gravity,,Gravity,Gravité
Great camera work! Time to rotate an object.,,Great camera work! Time to rotate an object.,Excellent travail de cadreur / cadreuse ! Il est temps de faire pivoter un objet.
Great for checking a dice roll or reading a card.,,Great for checking a dice roll or reading a card.,Idéal pour la vérification d'un jet de dés ou de lire une carte.
Great shuffling! Now let's put a card in our hand. Drop a single card above the white name on the table. When a card is in your hand other players cannot see what it is.,,"Great shuffling! Now let's put a card in our hand.
Drop a single card above the white name on the table.
When a card is in your hand other players cannot see what it is.","Beau brassage ! Maintenant, nous allons mettre une carte dans notre main.
Déposez une seule carte au-dessus du nom blanc sur la table.
Quand une carte est dans votre main, les autres joueurs ne peuvent pas la voir."
Great stacking! Now pull one card from the deck.,,Great stacking! Now pull one card from the deck.,"Bel empilement ! Maintenant, tirez une carte du tas."
Green,,Green,vert
Green 50,,Green 50,vert 50
Green Triangle,,Green Triangle,Triangle vert
Grey,,Grey,Gris
Grey (All),,Grey (All),Gray (Toutes)
Grey (Spectator),,Grey (Spectator),Gray (spectateurs)
Greyout Visited,,Greyout Visited,Visité en voile gris
Grid,,Grid,Grille
Grid Projection,,Grid Projection,Projection grille
Grid Size,,Grid Size,Taille de la grille
Grid lines are drawn on the surface of the table.,,Grid lines are drawn on the surface of the table.,les lignes de quadrillage sont tracées sur la surface de la table.
Grid will be projected onto the table and any object that has grid projection turned on.,,Grid will be projected onto the table and any object that has grid projection turned on.,Grille sera projetée sur la table et tout objet qui possède la projection de la grille sous tension.
Griffon,,Griffon,Griffon
Ground,,Ground,Sol
Group,,Group,Grouper
Grouping,,Grouping,Grouper
Groups,,Groups,Groupes
HINGE,,Hinge,Charnière
HOST COMMANDS,,Host Commands,Commandes de l'hôte
Hand Component Hotkey Draw,,Hand Component Hotkey Draw,Hand Component Hotkey Draw
Hand Minimized Size,,Hand Minimized Size,Taille de la main minimisée
Hand View,,Hand View,Voir la main
Hand View Angle,,Hand View Angle,Vue la main Angle
Hand View Scale,,Hand View Scale,Voir la main Échelle
Hand Zone Tags,,Hand Zone Tags,Zone main Mots clés
Hands,,Hands,Mains
Hands are areas near names on the table that can hold cards and dominoes.,,Hands are areas near names on the table that can hold cards and dominoes.,Les mains sont les zones proches du noms sur la table qui peut contenir des cartes et dominos.
Hands not used by a player will not be enabled.,,Hands not used by a player will not be enabled.,Les mains ne sont pas utilisés par un joueur ne seront pas activées.
Hearts,,Hearts,Cœurs
Height,,Height,la taille
Help,,Help,Aidez-moi
Help Menu,,Help Menu,Menu Aide
Heroes,,Heroes,Héros
Hex,,Hex,hex
Hex (Rounded),,Hex (Rounded),Hex (Arrondi)
Hex Horizontal,,Hex Horizontal,hex horizontal
Hex Rotated,,Hex Rotated,hex pivotée
Hex Vertical,,Hex Vertical,hex vertical
Hexagon,,Hexagon,Hexagone
Hidden,,Hidden,Caché
Hidden Zone Hide Opacity,,Hidden Zone Hide Opacity,Opacité des zones secrètes affichées
Hidden Zone Show Opacity,,Hidden Zone Show Opacity,Opacité des zones secrètes cachées
Hidden Zone Tags,,Hidden Zone Tags,Zone cachée Mots clés
Hide Face Down,,Hide Face Down,Masquer Face Bas
Hide Full,,Hide Full,Cacher pleines
Hide GM Pointer,,Hide GM Pointer,Masquer GM pointeur
Hide GUI,,Hide GUI,Masquer l'interface
Hide Hand,,Hide Hand,Cacher la main
Hide Locked,,Hide Locked,Cacher Privées
Hide Objects,,Hide Objects,Objets Masquer
Hide Pointers,,Hide Pointers,Pointeurs Masquer
Hiding,,Hiding,Cache
Hiding objects will be reversed so everyone but the color of the area can see inside.,,Hiding objects will be reversed so everyone but the color of the area can see inside.,cacher des objets seront inversés pour que chacun mais la couleur de la zone peut voir à l'intérieur.
High,,High,Haute
High Complexity,,High Complexity,Haute complexité
Hinge Joint,,Hinge Joint,diarthrose
Hold (Alt) while mousing over an object.,,Hold <Alt> while mousing over an object.,Maintenez <Alt> tout en positionnant la souris sur un objet.
Hold (Left Bumper) while hovering over an object.,,Hold <Left Bumper> while hovering over an object.,Maintenez <Bumper Gauche> tout en planant au-dessus d'un objet.
Hold ({0}) down for a few seconds.,,Hold <{0}> down for a few seconds.,Maintenez la touche <{0}> pendant quelques secondes.
Hold ({0}) on both controllers. Then move your hands closer or further apart. This will scale you up and down!,,"Hold <{0}> on both controllers.
Then move your hands closer or further apart.
This will scale you up and down!","Maintenez la touche <{0}> sur les deux contrôleurs.
Ensuite, déplacez vos mains plus ou plus éloignés.
Cela vous échelle de haut en bas!"
Hold ({0}) then drag yourself around.,,Hold <{0}> then drag yourself around.,Tenir <{0}> puis vous traîner.
Hold an object then press (A) on another object.,,Hold an object then press <A> on another object.,Tenez un objet puis appuyez sur <A> sur un autre objet.
Hold an object then press (Right Mouse) or (T) on another object.,,Hold an object then press <Right Mouse> or <T> on another object.,Tenez un objet puis appuyez sur <Clique Droit> ou <T> sur un autre objet.
Hold down (Right Mouse Button) and move your mouse.,,Hold down <Right Mouse Button> and move your mouse.,Maintenez la touche <Clique Droit> et déplacez votre souris.
Hold right mouse button to rotate your camera.,,Hold right mouse button to rotate your camera.,Maintenez le bouton droit de la souris pour faire pivoter votre appareil photo.
Hold the key and nudge push objects with your pointer.,,Hold the <N> key and nudge/push objects with your pointer.,Maintenez la touche <N> et pousser les objets avec votre pointeur.
Hold the key and nudge-push objects with your pointer.,,Hold the key and nudge/push objects with your pointer.,Maintenez la touche et pousser / objets pousser avec votre pointeur.
Holding the right mouse button will freely move your camera around.,,Holding the right mouse button will freely move your camera around.,En maintenant <Clique Droit> la caméra se déplacera librement autour.
Horizontal,,Horizontal,Horizontal
Host,,Host,Hôte
Host Server,,Host Server,Serveur-hôte
Host a game and have other players join you.,,Host a game and have other players join you.,Héberger une partie et qui ont d'autres joueurs vous rejoindre.
Hotseat,,Hotseat,Chacun son tour
Hotseat: Ask For Names,,Hotseat: Ask For Names,Local: Demander les noms
Hotseat: Confirm Turn Start,,Hotseat: Confirm Turn Start,Local: Confirmer le démarrage du tour
Hotseat: Delay Between Turns,,Hotseat: Delay Between Turns,Local: Délai entre les tours
Hotseat: Reset Camera On Turn,,Hotseat: Reset Camera On Turn,Local: Réinitialiser la caméra à chaque tour
Hotseat: Show Turn Button,,Hotseat: Show Turn Button,Local: Afficher le bouton de tour
Hover Highlight,,Hover Highlight,Sélectionnez Hover
Hover Tooltips,,Hover Tooltips,Hover infobulles
"Hover or hold an RPG figurine and press 1, 2, or 3 to see the different actions. You can also activate these in the Contextual Menu.",,"Hover or hold an RPG figurine and press 1, 2, or 3 to see the different actions. You can also activate these in the Contextual Menu.","Survolez ou tenez une figurine RPG et appuyez sur 1, 2 ou 3 pour voir les différentes actions. Vous pouvez également activer ces derniers dans le menu contextuel."
Hover or hold an object and press L to lock in place. You can also do this in the Contextual Menu.,,Hover or hold an object and press L to lock in place. You can also do this in the Contextual Menu.,Suvolez ou tenez un objet et appuyez sur L pour le verrouiller sur place. Vous pouvez aussi le faire dans le menu contextuel.
Hover or hold an object and press the R key to raise it continuously. This can also be used to quickly roll dice and shuffle cards.,,Hover or hold an object and press the R key to raise it continuously. This can also be used to quickly roll dice and shuffle cards.,Survolez ou tenez un objet et appuyez sur la touche R pour l'élever en permanence. Cela peut également être utilisé pour lancer des désou mélanger des cartes rapidement.
Hover over an object you wish to place beneath another and press the key. Great for layering objects under mats.,,Hover over an object you wish to place beneath another and press the key. Great for layering objects under mats.,Passez la souris sur un objet que vous souhaitez placer sous une autre et appuyez sur la touche. Idéal pour les objets en couches sous les tapis.
Hover over dice-decks & type a number to show-draw that amount.,,Hover over dice/decks & type a number to show/draw that amount.,Survolez dés/deck & pressez un chiffre pour afficher ce montant.
Hover over each item in this help menu to bring up more info.,,Hover over each item in this help menu to bring up more info.,Passez sur chaque élément pour plus d'informations.
Hover over the die and press (Pad Right).,,Hover over the die and press <Pad Right>.,Passez la souris sur la matrice et appuyez sur <jambière droite>.
Hovered Object,,Hovered Object,objet survolés
"How accurate it will try to trace your image. Lower = more accurate & expensive, Higher = less accurate.",,"How accurate it will try to trace your image. Lower = more accurate & expensive, Higher = less accurate.","Quelle est la précision, il essayera de tracer votre image. Lower = plus précis et coûteux, supérieur = moins précis."
How bouncy is the surface? A value of 0 will not bounce. A value of 1 will bounce without any loss of energy.,,How bouncy is the surface? A value of 0 will not bounce. A value of 1 will bounce without any loss of energy.,Comment est rebondissante la surface ? Une valeur de 0 ne fera pas rebondir. Une valeur de 1 va rebondir sans perte d'énergie.
How fast all objects fall (Default = 0.5).,,How fast all objects fall (Default = 0.5).,"À quelle vitesse tous les objets tombent (par défaut = 0,5)."
How high off the surface objects will be held.,,How high off the surface objects will be held.,Quelle hauteur les objets de surface auront lieu.
How many cards tall is your deck? Default template is 7.,,How many cards tall is your deck? Default template is 7.,Combien de cartes grande est votre deck? modèle par défaut est 7.
How many cards wide is your deck? Default template is 10.,,How many cards wide is your deck? Default template is 10.,Combien de cartes grande est votre deck? modèle par défaut est 10.
"How mirror-like the object is. Higher = Mirror, Lower = Dull.",,"How mirror-like the object is. Higher = Mirror, Lower = Dull.","Comment miroir est l'objet. Supérieur = Miroir, inférieur = Dull."
"How much air resistance affects the object when moving from forces. 0 means no air resistance, and infinity makes the object stop moving immediately.",,"How much air resistance affects the object when moving from forces. 0 means no air resistance, and infinity makes the object stop moving immediately.","How much air resistance affects the object when moving from forces. 0 means no air resistance, and infinity makes the object stop moving immediately."
How much air resistance affects the object when rotating from torque. 0 means no air resistance. Note that you cannot make the object stop rotating just by setting its Angular Drag to infinity.,,How much air resistance affects the object when rotating from torque. 0 means no air resistance. Note that you cannot make the object stop rotating just by setting its Angular Drag to infinity.,How much air resistance affects the object when rotating from torque. 0 means no air resistance. Note that you cannot make the object stop rotating just by setting its Angular Drag to infinity.
How much physics you want in your games.,,How much physics you want in your games.,Quel niveau de physique voulez-vous dans le jeu.
How strong reflections are on shiny objects.,,How strong reflections are on shiny objects.,Quelle est la force des réflexions sont sur des objets brillants.
How strong the ambient or mood lighting is.,,How strong the ambient or mood lighting is.,Quelle est la force de l'éclairage ambiant ou de l'humeur est.
Hue,,Hue,Teinte
Hydra,,Hydra,Hydre
IMPORT,,Import,Importer
INFO,,Info,Info
INTERFACE,,Interface,Interface
"If enabled, the object is affected by gravity.",,"If enabled, the object is affected by gravity.","Si elle est activée, l'objet est affecté par la gravité."
If freeSpin is enabled the motor will only accelerate but never slow down.,,If freeSpin is enabled the motor will only accelerate but never slow down.,"Si Freespin est activée, le moteur ne fera qu'accélérer mais jamais ralentir."
"If you need a bit more structure, then you can enable Turns so that everyone knows whose turn it is and when it s their own turn.",,"If you need a bit more structure, then you can enable Turns so that everyone knows whose turn it is and when it s their own turn.","Si vous avez besoin d'un peu plus de structure, vous pouvez activer les Tours afin que chacun sache qui est le tour et quand c'est leur tour."
Ignore Fog Of War,,Ignore Fog Of War,Ignorer Brouillard
Image,,Image,Image
Image On Board,,Image On Board,Image à bord
Image URL,,Image URL,URL de l'image
"Image must be in proper dice template. Template can be found in the game folder. Upload your image to a web host, then copy paste the direct link here.",,"Image must be in proper dice template. Template can be found in the game folder. Upload your image to a web host, then copy paste the direct link here.","L'image doit être dans le modèle de dés approprié. Modèle se trouve dans le dossier du jeu. Téléchargez votre image à un hébergeur, puis copiez collez le lien direct ici."
Import-Export,,Import/Export,Importer / Exporter
Improves texture quality at angles. Recommended on unless starved for performance.,,Improves texture quality at angles. Recommended on unless starved for performance.,Améliore la qualité des texturesen angles. Recommandé à moins d'avoir des problèmes de performances.
In-Game,,In-Game,En jeu
Inch,,Inch,Pouce
Inch Size,,Inch Size,pouces Taille
Infinite,,Infinite,Infini
Infinite Bag,,Infinite Bag,Sac Infini
Inserts a timestamp before each message.,,Inserts a timestamp before each message.,Insère un horodatage avant chaque message.
Instant Refill,,Instant Refill,Recharge instantanée
InstantRefillTooltip,,"When enabled, if ever a group is picked up or removed the rest of the layout will trigger to fill in the gap.","Lorsqu'elle est activée, si jamais un groupe est ramassé ou enlevé le reste de la mise en page déclenchera pour combler l'écart."
Instead of using the last slot on face image for the hidden card the back image will be used.,,Instead of using the last slot on face image for the hidden card the back image will be used.,Au lieu d'utiliser la dernière fente sur l'image du visage de la carte cachée de l'image arrière sera utilisée.
Interface Click Threshold,,Interface Click Threshold,Interface Cliquez sur Seuil
Interface Repeat Duration,,Interface Repeat Duration,Interface Répéter Durée
Invert,,Invert,Inverser
Inverts the camera look directions.,,Inverts the camera look directions.,Inverse les axes de rotation de la caméra.
Invite,,Invite,Invitation
Invite Friends,,Invite Friends,Inviter des amis
Is your card sideways? This rotates ALT Zoom.,,Is your card sideways? This rotates ALT Zoom.,Est-ce votre côté de la carte? Cela tourne ALT Zoom.
Is your deck sideways? This rotates ALT Zoom.,,Is your deck sideways? This rotates ALT Zoom.,Est-ce votre côté de plate-forme? Cela tourne ALT Zoom.
JIGSAW PUZZLES,,Jigsaw Puzzles,Puzzles
JOIN,,Join,Rejoindre
Jigsaw,,Jigsaw,Puzzle
Join new Server Host?,,Join new Server Host?,Joignez-vous à nouveau Host Server?
Joint,,Joint,Mixte
Joint that locks two objects in place without creating a parent child relationship like the Attach tool. Right click the jointed object and click Joint to bring up the new menu.,,Joint that locks two objects in place without creating a parent child relationship like the Attach tool. Right click the jointed object and click Joint to bring up the new menu.,Joint qui verrouille deux objets en place sans créer une relation parent-enfant comme l'outil Attacher. cliquez droit sur l'objet et cliquez sur jointé commun pour afficher le nouveau menu.
Joint that works just like it sounds a spring. Right click the jointed object and click Joint to bring up the new menu.,,Joint that works just like it sounds a spring. Right click the jointed object and click Joint to bring up the new menu.,Joint qui fonctionne exactement comme il sonne un ressort. cliquez droit sur l'objet et cliquez sur jointé commun pour afficher le nouveau menu.
